term,estimate,std.error,statistic,p.value,conf.low,conf.high,model
(Intercept),0.04,0.044,-73.48,0,0.036,0.043,1
eqi,0.977,0.004,-5.465,0,0.969,0.985,1
cat_ruccless urbanized,0.976,0.014,-1.718,0.086,0.949,1.003,1
cat_ruccthinly populated,0.97,0.032,-0.951,0.342,0.911,1.032,1
cat_ruccnonmetropolitan-urbanized,0.943,0.014,-4.083,0,0.916,0.97,1
perc_age1849,1.01,0.001,11.461,0,1.008,1.012,1
perc_smokers,1.017,0.001,24.602,0,1.016,1.019,1
(Intercept),0.049,0.041,-73.715,0,0.045,0.053,2
water,0.978,0.003,-8.018,0,0.973,0.984,2
air,1.036,0.003,11.078,0,1.029,1.042,2
land,0.965,0.003,-10.815,0,0.959,0.972,2
built,0.952,0.005,-10.225,0,0.944,0.961,2
sociod,1.064,0.004,14.25,0,1.055,1.073,2
cat_ruccless urbanized,0.924,0.014,-5.817,0,0.9,0.949,2
cat_ruccthinly populated,0.914,0.029,-3.11,0.002,0.863,0.967,2
cat_ruccnonmetropolitan-urbanized,0.905,0.014,-7.338,0,0.882,0.93,2
perc_age1849,1.011,0.001,13.378,0,1.01,1.013,2
perc_smokers,1.008,0.001,8.779,0,1.006,1.009,2
(Intercept),0.043,0.055,-56.884,0,0.039,0.048,1w
eqi,0.989,0.005,-2.266,0.024,0.979,0.998,1w
cat_ruccless urbanized,0.954,0.017,-2.838,0.005,0.924,0.986,1w
cat_ruccthinly populated,0.941,0.039,-1.578,0.115,0.871,1.014,1w
cat_ruccnonmetropolitan-urbanized,0.945,0.016,-3.494,0,0.915,0.975,1w
perc_age1849,1.008,0.001,7.273,0,1.006,1.01,1w
perc_smokers,1.016,0.001,20.746,0,1.015,1.018,1w
(Intercept),0.051,0.05,-59.559,0,0.046,0.056,2w
water,0.944,0.006,-9.626,0,0.933,0.955,2w
air,1.033,0.003,9.5,0,1.026,1.041,2w
land,0.958,0.004,-10.296,0,0.95,0.966,2w
built,0.955,0.005,-8.342,0,0.945,0.966,2w
sociod,1.041,0.005,8.403,0,1.032,1.051,2w
cat_ruccless urbanized,0.914,0.015,-5.801,0,0.887,0.942,2w
cat_ruccthinly populated,0.894,0.035,-3.197,0.001,0.835,0.957,2w
cat_ruccnonmetropolitan-urbanized,0.915,0.015,-5.886,0,0.888,0.942,2w
perc_age1849,1.01,0.001,9.764,0,1.008,1.012,2w
perc_smokers,1.008,0.001,9.096,0,1.007,1.01,2w
