term,edf,ref.df,statistic,p.value,model
s(eqi),5.997794459534062,7.1252700281111,5.965523759315167,2.721273274497449e-7,3w
s(perc_rural),4.372567308713408,5.3336197069985305,26.026146860847597,0,3w
s(perc_age1849),7.542060397195754,8.350331962473378,9.410415161585073,0,3w
s(perc_smokers),5.864300169893483,6.8914669538178925,93.99561403668561,0,3w
s(water),8.456981229463384,8.906555490564946,18.660001519245306,0,4w
s(air),3.9129341082443934,4.929021792585154,13.061310249951166,0,4w
s(land),8.502408839691931,8.914823242018986,16.92625270976334,0,4w
s(built),2.455607507778387,3.197742645772312,21.62012307111365,0,4w
s(sociod),8.507206627727978,8.894145656027368,26.730152123219323,0,4w
s(perc_rural),4.639606921739375,5.653437707237741,29.530236670722267,0,4w
s(perc_age1849),6.655242298363955,7.670476722205574,13.681361000292434,0,4w
s(perc_smokers),7.637512198682828,8.382136759418016,20.956189195713847,0,4w
